ID,tripduration,startstationid,startstationname,startstationlatitude,startstationlongitude,endstationid,endstationname,endstationlatitude,endstationlongitude,bikeid,gender
158,431,490,8 Ave & W 33 St,40.751551,-73.993934,173,Broadway & W 49 St,40.76064679,-73.98442659,20847,1
159,403,477,W 41 St & 8 Ave,40.75640548,-73.9900262,153,E 40 St & 5 Ave,40.75206231,-73.9816324,15117,1
160,402,325,E 19 St & 3 Ave,40.73624527,-73.98473765,439,E 4 St & 2 Ave,40.7262807,-73.98978041,16461,2
161,246,326,E 11 St & 1 Ave,40.72953837,-73.98426726,394,E 9 St & Avenue C,40.72521311,-73.97768752,14797,1
162,735,529,W 42 St & 8 Ave,40.7575699,-73.99098507,305,E 58 St & 3 Ave,40.76095756,-73.96724467,18279,1
163,438,519,Pershing Square North,40.751873,-73.977706,527,E 33 St & 2 Ave,40.744023,-73.976056,18664,1
164,925,478,11 Ave & W 41 St,40.76030096,-73.99884222,402,Broadway & E 22 St,40.7403432,-73.98955109,19017,1
165,513,488,W 39 St & 9 Ave,40.75645824,-73.99372222,462,W 22 St & 10 Ave,40.74691959,-74.00451887,19187,1
166,370,538,E 48 St & Madison Ave,40.75666,-73.976684,468,Broadway & W 55 St,40.7652654,-73.98192338,21593,1
167,70,533,Broadway & W 39 St,40.75299641,-73.98721619,362,Broadway & W 37 St,40.75172632,-73.98753523,20922,1
168,576,237,E 11 St & 2 Ave,40.73047309,-73.98672378,527,E 33 St & 2 Ave,40.744023,-73.976056,20322,2
169,517,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,300,Shevchenko Pl & E 7 St,40.728145,-73.990214,15586,1
170,395,519,Pershing Square North,40.751873,-73.977706,527,E 33 St & 2 Ave,40.744023,-73.976056,16296,1
171,381,271,Ashland Pl & Hanson Pl,40.68528172,-73.97805813,242,Flushing Ave & Carlton Ave,40.69788349,-73.97350332,20557,1
172,1987,427,Bus Slip & State St,40.701907,-74.013942,514,12 Ave & W 40 St,40.76087502,-74.00277668,18462,1
173,978,362,Broadway & W 37 St,40.75172632,-73.98753523,511,E 14 St & Avenue B,40.72938685,-73.97772429,16995,1
174,651,538,E 48 St & Madison Ave,40.75666,-73.976684,499,Broadway & W 60 St,40.76915505,-73.98191841,15724,1
175,145,379,W 31 St & 7 Ave,40.749156,-73.9916,505,6 Ave & W 33 St,40.74901271,-73.98848395,15363,1
176,1172,546,E 30 St & Park Ave S,40.74444921,-73.98303529,417,Barclay St & Church St,40.71291224,-74.01020234,14613,1
177,397,382,University Pl & E 14 St,40.73492695,-73.99200509,334,W 20 St & 7 Ave,40.74238787,-73.99726235,19023,1
178,817,377,6 Ave & Canal St,40.72243797,-74.00566443,415,Pearl St & Hanover Square,40.7047177,-74.00926027,17797,1
179,637,521,8 Ave & W 31 St,40.75044999,-73.99481051,507,E 25 St & 2 Ave,40.73912601,-73.97973776,21204,1
180,751,499,Broadway & W 60 St,40.76915505,-73.98191841,519,Pershing Square North,40.751873,-73.977706,20576,1
181,666,490,8 Ave & W 33 St,40.751551,-73.993934,514,12 Ave & W 40 St,40.76087502,-74.00277668,19593,1
182,588,379,W 31 St & 7 Ave,40.749156,-73.9916,2012,E 27 St & 1 Ave,40.739445,-73.976806,14706,1
183,412,490,8 Ave & W 33 St,40.751551,-73.993934,478,11 Ave & W 41 St,40.76030096,-73.99884222,19997,1
184,501,477,W 41 St & 8 Ave,40.75640548,-73.9900262,519,Pershing Square North,40.751873,-73.977706,19021,1
185,409,302,Avenue D & E 3 St,40.72082834,-73.97793172,311,Norfolk St & Broome St,40.7172274,-73.98802084,17276,1
186,1276,478,11 Ave & W 41 St,40.76030096,-73.99884222,137,E 56 St & Madison Ave,40.761628,-73.972924,16897,1
187,553,244,Willoughby Ave & Hall St,40.69196035,-73.96536851,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,18081,2
188,332,505,6 Ave & W 33 St,40.74901271,-73.98848395,527,E 33 St & 2 Ave,40.744023,-73.976056,15363,1
189,862,426,West St & Chambers St,40.71754834,-74.01322069,147,Greenwich St & Warren St,40.71542197,-74.01121978,20935,1
190,321,305,E 58 St & 3 Ave,40.76095756,-73.96724467,2022,E 59 St & Sutton Pl,40.75849116,-73.95920622,20188,1
191,894,488,W 39 St & 9 Ave,40.75645824,-73.99372222,453,W 22 St & 8 Ave,40.74475148,-73.99915362,14792,1
192,524,465,Broadway & W 41 St,40.75513557,-73.98658032,491,E 24 St & Park Ave S,40.74096374,-73.98602213,18791,1
193,500,523,W 38 St & 8 Ave,40.75466591,-73.99138152,527,E 33 St & 2 Ave,40.744023,-73.976056,14656,1
194,418,492,W 33 St & 7 Ave,40.75019995,-73.99093085,510,W 51 St & 6 Ave,40.7606597,-73.98042047,20128,1
195,616,518,E 39 St & 2 Ave,40.74780373,-73.9734419,492,W 33 St & 7 Ave,40.75019995,-73.99093085,19545,1
196,503,339,Avenue D & E 12 St,40.72580614,-73.97422494,428,E 3 St & 1 Ave,40.72467721,-73.98783413,18911,2
197,265,355,Bayard St & Baxter St,40.71602118,-73.99974372,377,6 Ave & Canal St,40.72243797,-74.00566443,17706,1
198,653,432,E 7 St & Avenue A,40.72621788,-73.98379855,358,Christopher St & Greenwich St,40.73291553,-74.00711384,16991,1
199,487,496,E 16 St & 5 Ave,40.73726186,-73.99238967,474,5 Ave & E 29 St,40.7451677,-73.98683077,18958,1
200,324,482,W 15 St & 7 Ave,40.73935542,-73.99931783,497,E 17 St & Broadway,40.73704984,-73.99009296,19481,1
201,160,2008,Little West St & 1 Pl,40.70569254,-74.01677685,363,West Thames St,40.70834698,-74.01713445,21469,1
202,803,511,E 14 St & Avenue B,40.72938685,-73.97772429,526,E 33 St & 5 Ave,40.74765947,-73.98490707,16091,1
203,570,379,W 31 St & 7 Ave,40.749156,-73.9916,2012,E 27 St & 1 Ave,40.739445,-73.976806,15384,1
204,463,477,W 41 St & 8 Ave,40.75640548,-73.9900262,519,Pershing Square North,40.751873,-73.977706,19723,1
205,414,528,2 Ave & E 31 St,40.74290902,-73.97706058,491,E 24 St & Park Ave S,40.74096374,-73.98602213,18608,1
206,693,477,W 41 St & 8 Ave,40.75640548,-73.9900262,281,Grand Army Plaza & Central Pa,40.7643971,-73.97371465,19658,1
207,690,476,E 31 St & 3 Ave,40.74394314,-73.97966069,116,W 17 St & 8 Ave,40.74177603,-74.00149746,18712,2
208,601,529,W 42 St & 8 Ave,40.7575699,-73.99098507,305,E 58 St & 3 Ave,40.76095756,-73.96724467,20902,1
209,534,488,W 39 St & 9 Ave,40.75645824,-73.99372222,462,W 22 St & 10 Ave,40.74691959,-74.00451887,19013,1
210,206,474,5 Ave & E 29 St,40.7451677,-73.98683077,472,E 32 St & Park Ave,40.7457121,-73.98194829,18415,1
211,200,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,539,Metropolitan Ave & Bedford Av,40.71534825,-73.96024116,19281,1
212,1789,363,West Thames St,40.70834698,-74.01713445,450,W 49 St & 8 Ave,40.76227205,-73.98788205,18981,1
213,751,492,W 33 St & 7 Ave,40.75019995,-73.99093085,441,E 52 St & 2 Ave,40.756014,-73.967416,19921,1
214,370,477,W 41 St & 8 Ave,40.75640548,-73.9900262,526,E 33 St & 5 Ave,40.74765947,-73.98490707,19252,1
215,272,355,Bayard St & Baxter St,40.71602118,-73.99974372,224,Spruce St & Nassau St,40.71146364,-74.00552427,18528,1
216,1480,361,Allen St & Hester St,40.71605866,-73.99190759,533,Broadway & W 39 St,40.75299641,-73.98721619,20064,1
