,index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
60,107,556,9/1/2015 00:18:00,9/1/2015 00:27:17,519,Pershing Square North,40.751872999999996,-73.97770600000001,448,W 37 St & 10 Ave,40.75660359,-73.9979009,22841,Subscriber,1990.0,1
61,108,193,9/1/2015 00:17:59,9/1/2015 00:21:12,498,Broadway & W 32 St,40.74854862,-73.98808416,492,W 33 St & 7 Ave,40.75019995,-73.99093085,17421,Customer,,0
62,110,198,9/1/2015 00:18:09,9/1/2015 00:21:28,527,E 33 St & 2 Ave,40.744023,-73.976056,476,E 31 St & 3 Ave,40.74394314,-73.97966069,22900,Subscriber,1989.0,1
63,111,1127,9/1/2015 00:18:12,9/1/2015 00:36:59,229,Great Jones St,40.72743423,-73.99379025,444,Broadway & W 24 St,40.742354299999995,-73.98915076,21970,Customer,,0
64,112,1678,9/1/2015 00:18:30,9/1/2015 00:46:29,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,401,Allen St & Rivington St,40.72019576,-73.98997825,17846,Customer,,0
65,115,667,9/1/2015 00:18:48,9/1/2015 00:29:56,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,152,Warren St & Church St,40.71473993,-74.00910627,22288,Subscriber,1996.0,1
66,116,133,9/1/2015 00:18:54,9/1/2015 00:21:08,498,Broadway & W 32 St,40.74854862,-73.98808416,492,W 33 St & 7 Ave,40.75019995,-73.99093085,23274,Customer,,0
67,118,1002,9/1/2015 00:19:12,9/1/2015 00:35:54,229,Great Jones St,40.72743423,-73.99379025,444,Broadway & W 24 St,40.742354299999995,-73.98915076,18387,Customer,,0
68,120,1328,9/1/2015 00:19:23,9/1/2015 00:41:31,3081,Graham Ave & Grand St,40.711863,-73.944024,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,15797,Customer,,0
69,123,1433,9/1/2015 00:19:46,9/1/2015 00:43:40,430,York St & Jay St,40.7014851,-73.98656928,144,Nassau St & Navy St,40.69839895,-73.98068914,21017,Subscriber,1960.0,1
70,127,430,9/1/2015 00:20:19,9/1/2015 00:27:30,225,W 14 St & The High Line,40.74195138,-74.00803013,458,11 Ave & W 27 St,40.751396,-74.00522600000001,23482,Subscriber,1981.0,1
71,128,184,9/1/2015 00:20:19,9/1/2015 00:23:23,3112,Milton St & Franklin St,40.72906,-73.95779,3104,Kent Ave & N 7 St,40.72057658,-73.96150225,23426,Subscriber,1979.0,1
72,129,666,9/1/2015 00:20:30,9/1/2015 00:31:37,127,Barrow St & Hudson St,40.73172428,-74.00674436,326,E 11 St & 1 Ave,40.72953837,-73.98426726,21413,Subscriber,1988.0,1
73,131,247,9/1/2015 00:20:51,9/1/2015 00:24:58,504,1 Ave & E 15 St,40.73221853,-73.98165557,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,22669,Subscriber,1987.0,1
74,132,431,9/1/2015 00:20:56,9/1/2015 00:28:08,490,8 Ave & W 33 St,40.751551,-73.993934,450,W 49 St & 8 Ave,40.76227205,-73.98788205,23906,Subscriber,1963.0,1
75,135,367,9/1/2015 00:21:27,9/1/2015 00:27:34,417,Barclay St & Church St,40.71291224,-74.01020234,2010,Grand St & Greene St,40.72165481,-74.00234737,15502,Subscriber,1955.0,2
76,136,1423,9/1/2015 00:21:27,9/1/2015 00:45:11,332,Cherry St,40.71219906,-73.97948148,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,23846,Customer,,0
77,139,1198,9/1/2015 00:22:27,9/1/2015 00:42:26,251,Mott St & Prince St,40.72317958,-73.99480012,225,W 14 St & The High Line,40.74195138,-74.00803013,15683,Subscriber,1989.0,1
78,141,1075,9/1/2015 00:22:58,9/1/2015 00:40:53,405,Washington St & Gansevoort St,40.739323,-74.008119,250,Lafayette St & Jersey St,40.72456089,-73.99565293,16270,Customer,,0
79,145,876,9/1/2015 00:23:42,9/1/2015 00:38:18,128,MacDougal St & Prince St,40.72710258,-74.00297088,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,22190,Subscriber,1965.0,1
80,149,1203,9/1/2015 00:25:04,9/1/2015 00:45:08,519,Pershing Square North,40.751872999999996,-73.97770600000001,329,Greenwich St & N Moore St,40.72043411,-74.01020609,24235,Subscriber,1970.0,1
81,157,402,9/1/2015 00:26:01,9/1/2015 00:32:44,470,W 20 St & 8 Ave,40.74345335,-74.00004031,491,E 24 St & Park Ave S,40.74096374,-73.98602213,23908,Subscriber,1983.0,1
82,160,305,9/1/2015 00:26:40,9/1/2015 00:31:46,426,West St & Chambers St,40.71754834,-74.01322069,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,16276,Subscriber,1952.0,1
83,163,494,9/1/2015 00:27:05,9/1/2015 00:35:19,527,E 33 St & 2 Ave,40.744023,-73.976056,402,Broadway & E 22 St,40.740343200000005,-73.98955109,24281,Subscriber,1976.0,1
84,164,318,9/1/2015 00:27:44,9/1/2015 00:33:03,531,Forsyth St & Broome St,40.71893904,-73.99266288,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,18669,Subscriber,1983.0,1
85,165,174,9/1/2015 00:27:53,9/1/2015 00:30:48,492,W 33 St & 7 Ave,40.75019995,-73.99093085,446,W 24 St & 7 Ave,40.74487634,-73.99529885,23274,Subscriber,1979.0,1
86,166,336,9/1/2015 00:28:08,9/1/2015 00:33:45,510,W 51 St & 6 Ave,40.7606597,-73.98042047,480,W 53 St & 10 Ave,40.76669671,-73.99061728,22757,Subscriber,1990.0,2
87,168,277,9/1/2015 00:28:50,9/1/2015 00:33:27,489,10 Ave & W 28 St,40.75066386,-74.00176802,434,9 Ave & W 18 St,40.74317449,-74.00366443,21344,Subscriber,1992.0,2
88,169,1115,9/1/2015 00:28:50,9/1/2015 00:47:26,494,W 26 St & 8 Ave,40.74734825,-73.99723551,433,E 13 St & Avenue A,40.72955361,-73.98057249,23895,Subscriber,1994.0,1
89,171,900,9/1/2015 00:28:55,9/1/2015 00:43:56,449,W 52 St & 9 Ave,40.76461837,-73.98789473,368,Carmine St & 6 Ave,40.73038599,-74.00214988,23899,Subscriber,1992.0,1
90,173,1082,9/1/2015 00:29:07,9/1/2015 00:47:09,396,Lefferts Pl & Franklin Ave,40.680342423,-73.9557689392,467,Dean St & 4 Ave,40.68312489,-73.97895137,22324,Subscriber,1990.0,1
91,175,714,9/1/2015 00:29:14,9/1/2015 00:41:08,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,296,Division St & Bowery,40.71413089,-73.99704679999999,22487,Subscriber,1981.0,1
